Order ID,Order Date,Category,Sub-Category,Sales,Profit,Region,Customer Segment
46685257-bdd6-40fb-8667-1ad11c80317f,2024-09-20,Accessories,Jewelry,199.78,76.47,Europe,Returning
1a3d1fa7-bc89-40a9-a3b8-c1e9392456de,2023-01-16,Clothing,Pants,371.36,96.38,North America,Loyal
16419f82-8b9d-4434-a465-e150bd9c66b3,2024-11-17,Accessories,Scarves,94.89,9.93,Asia,New
17fc695a-07a0-4a6e-8822-e8f36c031199,2024-07-06,Clothing,Pants,47.88,16.91,Europe,Returning
06cb0fb3-9a1d-4644-815e-f6d13b8faa18,2022-12-06,Clothing,Jackets,308.54,91.89,North America,New
b38a088c-a65e-4389-b74d-0fb132e70629,2024-05-21,Accessories,Jewelry,29.88,11.64,South America,Returning
96da1dac-72ff-4d2a-b86e-cbe06b65a6a4,2024-04-26,Accessories,Bags,419.57,52.16,South America,Loyal
c241330b-01a9-471f-9e8a-774bcf36d58b,2023-03-09,Clothing,Dresses,107.28,12.25,Africa,New
47229389-571a-4876-ac30-7511b2b9437a,2022-09-06,Accessories,Bags,166.04,38.8,Asia,Returning
562b0f79-c374-49ee-b50b-ea63371ecd7b,2022-08-30,Footwear,Heels,227.33,34.54,South America,Returning
5be6128e-18c2-4797-a142-ea7d17be3111,2022-06-08,Accessories,Jewelry,313.69,31.0,Europe,Loyal
0b1f9163-ce9f-457f-83b7-a3a69a8dca03,2023-06-19,Accessories,Bags,160.23,28.56,Africa,Returning
ec1b8ca1-f91e-4d4c-9ff4-9b7889463e85,2023-12-15,Clothing,Jackets,238.91,77.6,Asia,New
d453dd32-4b0d-4b41-8d52-88f1142c3fe8,2023-08-12,Accessories,Jewelry,115.84,26.64,Asia,Returning
5c941cf0-dc98-42c1-a2ac-f72f9e574f7a,2024-09-03,Accessories,Belts,304.36,20.17,Europe,Loyal
0bbb2599-11ce-4dd2-b45e-d1f03139d32c,2024-06-15,Accessories,Bags,311.62,34.18,Asia,Returning
fc377a4c-4a15-444d-85e7-ce8a3a578a8e,2024-10-24,Footwear,Sneakers,51.22,19.57,Middle East,New
19db3ad0-ddd1-4fb2-bb98-2ef8daf61a26,2022-05-04,Accessories,Scarves,483.5,160.98,Africa,New
d58842de-a2bc-472f-b412-b29347294739,2023-08-14,Footwear,Sandals,166.21,13.99,Africa,New
35a240ae-5af3-4553-9ec4-2e0829a3b2e9,2023-07-21,Footwear,Boots,348.43,71.1,South America,Returning
aefcfad8-efc8-4849-b3aa-7efe4458a885,2024-11-07,Clothing,Pants,78.58,17.55,South America,New
2bcfbe01-a28d-4fe3-9bf0-027312476f57,2024-10-03,Footwear,Sandals,36.51,13.45,North America,New
7656af72-29d4-4eef-beab-edcbbaa80dd4,2024-04-09,Clothing,Pants,144.21,40.65,South America,Loyal
a3d70628-ece6-4fa2-bd51-66e6451b4cf3,2023-08-13,Accessories,Scarves,169.62,39.36,South America,Loyal
5304317f-af42-412f-b838-b3268e944239,2024-12-05,Footwear,Sandals,282.42,32.39,Asia,Returning
ce177b4e-0837-48a3-9261-a7ab3aa2e4f9,2022-03-28,Footwear,Heels,485.4,155.96,Africa,New
3602f8ac-10f1-4c81-848a-aa9e66b2bc5b,2023-05-06,Footwear,Heels,470.96,171.05,Africa,New
366eb16f-508e-4ad7-b7c9-3acfe059a0ee,2024-05-31,Accessories,Scarves,306.99,114.4,Middle East,Loyal
ea1fca65-e27a-484d-a548-21d07fcd9eb1,2024-10-15,Accessories,Jewelry,62.48,7.41,Middle East,Returning
23bed01d-43cf-4fde-a493-3b83757750a9,2024-09-25,Accessories,Scarves,41.71,6.83,North America,Loyal
434308bc-89fa-4a68-8fb5-d27bbeb79919,2023-01-19,Clothing,Dresses,206.57,29.95,Asia,New
663f1c97-9562-49f0-a5d7-b8756dadd6c7,2024-06-27,Footwear,Heels,417.79,73.06,North America,New
2369b584-ff5e-4ff0-bf50-bde4382567b8,2023-07-17,Accessories,Belts,154.85,37.16,Europe,New
0c0fd195-c17a-408a-9745-d6d87e570ddf,2024-03-02,Footwear,Sandals,87.64,28.99,Asia,Returning
cac5b68c-28f4-4481-a0a0-4dc427209bdf,2022-06-20,Accessories,Bags,55.78,22.06,Europe,New
62801c45-1043-4a10-98ae-43346c12ace8,2024-11-23,Clothing,Jackets,390.68,46.71,Asia,Loyal
877409a9-77d2-4e02-bf01-cf99988c24c9,2023-08-16,Clothing,Tops,22.65,7.6,South America,Loyal
f143262f-dc5c-4eed-8da0-365bf89897b9,2023-01-26,Accessories,Bags,359.29,109.64,North America,Loyal
ae849217-1d53-434b-b881-39b9ae270da7,2022-01-18,Clothing,Jackets,390.21,29.62,Asia,Loyal
a4161293-c4c2-42e3-844e-a7c8c0398710,2024-04-14,Accessories,Bags,192.06,17.39,Europe,Returning
287d06ca-6f4c-469a-8b22-d3081c8eaee9,2023-06-13,Footwear,Heels,434.29,116.46,Middle East,Loyal
e037e5ed-b8db-4672-b42d-47cc00d4af59,2023-12-06,Footwear,Heels,178.83,12.92,Europe,Loyal
2dbc2134-c30f-446e-8026-695ff8cda88b,2023-02-14,Clothing,Tops,169.27,27.73,Europe,Loyal
